startframe	starttime	endframe	endtime
0	0.08	9	0.44
10	0.48	47	1.96
48	2	403	16.2
404	16.24	547	21.96
548	22	640	25.68
641	25.72	643	25.8
644	25.84	664	26.64
665	26.68	781	31.32
782	31.36	859	34.44
860	34.48	888	35.6
889	35.64	900	36.08
901	36.12	961	38.52
962	38.56	1010	40.48
1011	40.52	1036	41.52
1037	41.56	1154	46.24
1155	46.28	1206	48.32
1207	48.36	1312	52.56
1313	52.6	1315	52.68
1316	52.72	1476	59.12
1477	59.16	1490	59.68
1491	59.72	1498	60
1499	60.04	1515	60.68
1516	60.72	1518	60.8
1519	60.84	1657	66.36
1658	66.4	1771	70.92
1772	70.96	1914	76.64
1915	76.68	1920	76.88
1921	76.92	1934	77.44
1935	77.48	2078	83.2
2079	83.24	2232	89.36
2233	89.4	2304	92.24
2305	92.28	2308	92.4
2309	92.44	2362	94.56
2363	94.6	2369	94.84
2370	94.88	2481	99.32
2482	99.36	2516	100.72
2517	100.76	2613	104.6
2614	104.64	2683	107.4
2684	107.44	2705	108.28
2706	108.32	2975	119.08
2976	119.12	3092	123.76
3093	123.8	3362	134.56
3363	134.6	3364	134.64
3365	134.68	3614	144.64
3615	144.68	3621	144.92
3622	144.96	3705	148.28
3706	148.32	3818	152.8
3819	152.84	3820	152.88
3821	152.92	3834	153.44
3835	153.48	3937	157.56
3938	157.6	3955	158.28
3956	158.32	4064	162.64
4065	162.68	4067	162.76
4068	162.8	4155	166.28
4156	166.32	4158	166.4
4159	166.44	4174	167.04
4175	167.08	4183	167.4
4184	167.44	4254	170.24
4255	170.28	4346	173.92
4347	173.96	4350	174.08
4351	174.12	4634	185.44
4635	185.48	4775	191.08
4776	191.12	4888	195.6
4889	195.64	4968	198.8
4969	198.84	5168	206.8
